siteid,CBox,CBox_and_DVR,CBox_and_DVR_hourly,CBox_and_DVR_hourly_weekday,CBox_and_DVR_hourly_weekend,CBox_and_DVR_monthly,CBox_hourly,CBox_monthly,CPU,CPU_hourly,CPU_monthly,Comp,Comp_hourly,Comp_monthly,Cwash,Cwash_hourly,Cwash_hourly_weekday,Cwash_hourly_weekend,Cwash_monthly,DHW,DHW_g_hourly_weekday,DHW_g_hourly_weekend,DHW_g_monthly,DHW_hourly,DHW_hourly_weekday,DHW_hourly_weekend,DHW_monthly,DVD,DVD_hourly,DVD_hourly_weekday,DVD_hourly_weekend,DVD_monthly,Dryer,Dryer_hourly,Dryer_hourly_weekday,Dryer_hourly_weekend,Dryer_monthly,Dwash,Dwash_hourly,Dwash_hourly_weekday,Dwash_hourly_weekend,Dwash_monthly,Freezer,Freezer_hourly,Freezer_monthly,Game_cons,Game_cons_hourly,Game_cons_hourly_weekday,Game_cons_hourly_weekend,Game_cons_monthly,Oven,Oven_hourly,Oven_hourly_weekday,Oven_hourly_weekend,Oven_monthly,Refrig,Refrig_hourly,Refrig_monthly,Service,Service_daily_elec,Service_daily_gas,Service_hourly,Service_hourly_weekday,Service_hourly_weekday_elec,Service_hourly_weekday_gas,Service_hourly_weekend,Service_hourly_weekend_elec,Service_hourly_weekend_gas,Service_monthly,Service_monthly_elec,Service_monthly_gas,Stereo,Stereo_hourly,Stereo_hourly_weekday,Stereo_hourly_weekend,Stereo_monthly,TV,TV_hourly,TV_hourly_weekday,TV_hourly_weekend,TV_monthly
13445,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
13554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
13691,1,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
13880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,3,3,3,3,3
13895,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
13903,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
13912,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
13948,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
13956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
13970,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
13974,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
13975,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
14000,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14012,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14015,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
14037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14073,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14102,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14140,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,0,0,0,0,0,0
14153,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
14174,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
14181,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14211,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
14264,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14273,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14277,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14284,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14285,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
14300,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
14329,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
14331,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
14423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
14508,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,3,3,3,3,3
14542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
14545,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
14560,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
14577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1
14646,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
14674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1
20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0
20020,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,2,0,0,0,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
20215,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,0,0,0,0,0
20230,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
20469,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
20553,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,3,3,3,3,3
20685,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,2,2,2,2,2
20702,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
20753,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
20775,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
20807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
20998,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
21143,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1
21298,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
21343,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
21355,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,3,3,3,3,3
21414,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
21499,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
21588,2,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
21615,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
21678,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
